,sac,td3,ppo,ddpg
95,880759.95,837772.79,1027216.44,837511.69
96,864315.08,824977.41,1012671.63,823482.44
97,864058.51,823006.35,1021496.81,823146.63
98,881702.89,842083.41,1037280.31,840313.88
99,883899.95,847394.91,1046709.81,850626.32
100,893287.89,862165.54,1051567.19,865242.63
101,893899.7,852543.16,1062226.44,853451.88
102,883869.51,848657.66,1050383.81,844714.38
103,889473.58,857092.16,1061335.06,850101.13
104,883336.89,848323.91,1047449.94,839840.94
105,884917.83,838668.35,1046744.19,833711.0
106,892276.39,849683.6,1077297.81,850406.88
107,877839.7,855176.54,1080288.31,858313.75
108,872777.08,850822.22,1083468.56,854723.0
109,873456.83,853712.22,1078131.69,858617.25
110,866363.76,845693.41,1059778.94,847861.82
111,875359.89,855405.29,1084444.56,858994.13
112,880835.95,861158.54,1093627.19,862704.63
113,888765.83,867065.04,1093639.56,869219.5
114,901522.89,876479.47,1100136.56,878470.5
115,894869.7,879476.04,1103377.81,884271.75
116,896711.58,878453.66,1103733.94,884009.63
117,895687.33,872917.1,1108234.69,877942.0
118,896613.58,870911.91,1111244.94,879338.69
119,885338.01,857888.72,1099709.69,873676.07
120,894632.64,864907.29,1127686.56,882807.63
121,906578.08,873411.16,1134591.31,891107.88
122,904092.95,868789.97,1134464.56,888494.25
123,899981.26,864861.66,1130597.44,885772.88
124,911087.2,870391.16,1138335.06,891069.32
125,916661.01,1461023.79,1142621.06,898466.82
126,917647.2,1477657.54,1137167.94,904416.69
127,913994.39,1489296.66,1154765.06,913240.57
128,914449.89,1486396.79,1155949.06,913561.63
129,914256.01,1483202.66,1150964.44,913934.13
130,889187.51,1419270.29,1121001.31,880430.75
131,905232.64,1447757.29,1128506.69,899897.0
132,900488.26,1460145.41,1120658.56,898803.0
133,914317.64,1483598.79,1130123.81,901055.25
134,909570.76,1455859.54,1123275.31,888429.75
135,914756.26,1459010.29,1124943.81,886828.63
136,907310.01,1441277.16,1120216.44,879540.25
137,904759.01,1441414.16,1126090.31,875176.0
138,913574.83,1447888.79,1128802.81,885758.38
139,910380.14,1443805.41,1130911.69,889354.07
140,903132.14,1434690.04,1129935.31,882710.63
141,900666.76,1436693.66,1131960.31,891162.5
142,905829.08,1454392.54,1151000.94,900313.0
143,900594.26,1447168.54,1159512.94,899380.88
144,893270.2,1462865.91,1185588.06,914520.38
145,860315.58,1418532.91,1146779.06,885751.44
146,848554.26,1402351.29,1134114.56,879536.44
147,853229.83,1401661.41,1128711.31,872770.38
148,835498.76,1364133.91,1103217.31,846466.82
149,864483.08,1418047.91,1127914.56,874621.94
150,877178.58,1453918.04,1149312.81,894728.94
151,872247.89,1450332.16,1146856.31,888367.25
152,880227.2,1456975.54,1147863.56,891876.38
153,893043.95,1469737.54,1160556.56,908559.94
154,890032.83,1469634.04,1159864.94,904213.0
155,895941.26,1472686.41,1166850.19,913806.75
156,903973.89,1479476.29,1187224.81,910035.88
157,909387.26,1477459.54,1196190.94,915578.75
158,903895.39,1479574.91,1197258.81,915387.63
159,904172.01,1469575.16,1196947.44,917908.57
160,895451.7,1472673.54,1190876.06,913570.82
161,902495.51,1492876.79,1191643.81,924038.5
162,890126.89,1471974.79,1177351.44,905120.07
163,888094.64,1482866.79,1184232.69,912859.19
164,903064.01,1470531.54,1172045.81,913486.94
165,908233.64,1472046.66,1173793.94,914539.5
166,903756.76,1465775.04,1172356.31,911840.13
167,898444.01,1457818.79,1161204.56,908981.63
168,904028.76,1463676.79,1182528.56,908934.63
169,904217.89,1436709.29,1147437.81,895174.75
170,930495.26,1458776.16,1168873.81,913376.75
171,925421.2,1453126.54,1163356.81,903394.5
172,921521.64,1448656.04,1154008.81,899669.5
173,919869.76,1429783.29,1133198.19,886956.44
174,919808.51,1424160.04,1132432.94,896895.07
175,918533.01,1448942.29,1150784.56,905606.75
176,924081.64,1459046.29,1160261.56,916936.75
177,944894.89,1485682.41,1171714.31,938346.25
178,941850.89,1498028.79,1165787.94,944464.57
179,950518.76,1523391.54,1170105.06,950979.44
180,945388.45,1549247.54,1161946.06,967563.25
181,956656.64,1596039.29,1186013.19,991138.82
182,959894.01,1604481.04,1180949.06,992870.57
183,968349.51,1664820.41,1186635.69,1005234.19
184,980352.51,1682757.29,1187387.81,1010065.5
185,991781.76,1724228.16,1186957.31,1027312.25
186,988003.76,1699287.04,1180716.44,1020576.88
187,1020382.64,1744174.79,1184621.44,1049078.88
188,1034958.14,1764829.91,1199617.94,1068546.5
189,1043260.08,1801205.79,1217158.81,1078560.5
190,1028962.58,1754541.79,1195239.56,1057905.13
191,1036896.51,1755415.91,1206601.94,1071329.63
192,1041026.45,1751237.79,1214301.81,1073884.13
193,1035057.39,1749014.41,1224977.94,1076502.0
194,1039617.64,1749103.41,1238392.69,1080623.25
195,1070834.39,1768126.04,1262063.06,1098369.13
196,1081578.39,1775209.29,1271694.81,1104560.38
197,1077792.01,1779578.66,1276661.31,1112095.88
198,1073800.14,1770120.41,1276414.31,1106012.13
199,1079265.76,1776666.16,1279163.56,1117013.75
200,1096655.76,1764918.54,1278720.06,1117529.5
201,1097164.64,1757734.79,1279580.06,1116930.88
202,1099792.39,1741289.54,1270346.81,1118875.0
203,1102483.51,1777253.04,1272478.94,1134809.63
204,1108171.89,1779297.04,1278037.56,1139285.88
205,1105377.64,1785263.66,1273136.94,1144828.63
206,1101653.39,1791168.04,1281203.19,1147296.13
207,1076362.51,1731477.29,1238199.06,1108954.75
208,1090001.26,1758583.54,1250324.19,1120465.63
209,1101220.26,1770749.91,1261015.56,1133932.25
210,1099052.76,1769196.79,1270173.06,1139610.88
211,1102782.26,1777138.91,1277920.81,1145009.25
212,1096131.64,1777147.29,1278340.56,1144957.0
213,1105422.76,1799559.16,1288895.81,1152648.38
214,1106235.14,1801766.41,1291186.81,1150483.13
215,1107551.76,1806387.04,1298192.06,1152055.63
216,1109380.76,1842619.04,1299064.31,1153583.63
217,1112000.26,1846832.54,1299113.19,1152574.13
218,1109517.64,1834797.91,1296871.06,1148485.63
219,1103920.26,1842152.29,1291424.31,1155333.88
220,1129131.14,1888682.04,1330014.56,1173726.38
221,1135016.26,1890755.79,1352721.31,1172158.25
222,1120546.89,1918102.04,1352362.19,1166234.38
223,1114768.64,1907071.66,1348467.56,1156771.63
224,1113946.64,1912176.66,1349517.31,1156797.25
225,1096291.51,1892450.29,1334805.56,1142433.13
226,1077127.26,1871046.41,1310641.31,1114822.63
227,1103084.01,1905691.79,1330311.31,1151063.88
228,1110219.89,1907478.79,1343911.81,1157532.88
229,1111998.89,1924136.79,1339228.31,1159921.88
230,1103569.76,1927273.04,1372895.44,1152877.88
231,1099806.51,1900387.54,1383916.69,1156587.88
232,1091882.39,1862514.04,1355579.94,1136651.63
233,1072690.14,1854696.29,1342554.31,1124550.63
234,1046599.7,1816862.91,1291793.06,1095989.63
235,1088795.14,1898943.54,1320896.19,1148622.63
236,1096750.76,1926114.66,1343272.56,1155166.88
237,1096611.26,1944352.91,1361982.81,1170808.13
238,1099884.76,1971040.91,1371345.69,1186187.75
239,1096791.39,1966078.66,1371342.69,1191845.63
240,1112127.64,1995075.79,1385977.44,1207677.13
241,1116362.76,1983240.29,1379981.06,1203864.88
242,1121746.64,1977792.04,1380581.69,1216273.38
243,1128351.26,1957736.29,1385911.31,1219311.38
244,1124031.14,1947226.91,1373894.06,1217638.13
245,1135192.64,1961386.66,1372123.44,1229715.25
246,1130568.64,1942815.66,1376506.81,1228134.5
247,1103511.26,1913301.04,1372635.06,1212061.0
248,1097986.64,1890287.54,1362923.94,1206428.63
249,1092238.89,1868849.29,1337469.31,1199455.0
250,1071205.14,1811768.41,1311379.56,1175112.13
251,1069437.51,1825320.79,1300778.81,1175516.38
252,1080876.89,1849739.04,1306405.81,1190347.75
253,1078747.14,1857858.16,1310518.31,1195546.88
254,1049379.14,1799959.54,1267002.06,1143952.38
255,1067750.76,1828196.16,1287254.31,1161099.38
256,1085478.76,1853198.79,1315033.81,1175302.63
257,1103195.26,1884055.41,1312996.56,1205806.63
258,1094873.26,1870851.29,1312618.56,1196216.63
259,1092727.01,1857232.91,1312168.31,1185642.63
260,1090619.89,1851170.29,1307794.81,1179864.13
261,1101074.64,1862167.54,1309062.81,1188489.88
262,1103228.01,1895953.66,1314933.81,1198580.25
263,1089741.64,1877437.04,1286305.81,1188402.38
264,1082999.14,1872824.16,1268140.06,1170837.38
265,1085569.89,1869144.04,1273881.19,1174874.63
266,1071016.26,1849444.66,1250944.69,1157128.63
267,1063026.89,1843252.29,1246662.44,1143432.88
268,1072608.64,1851387.79,1250959.19,1153575.88
269,1075179.26,1855117.54,1251135.44,1153189.63
270,1079244.26,1865993.91,1256084.06,1152919.63
271,1063898.14,1834818.79,1236106.06,1137015.88
272,1041486.01,1797049.29,1207796.31,1118277.5
273,1068905.51,1814070.54,1218118.81,1140838.13
274,1091886.39,1854172.54,1235276.81,1156564.63
275,1094569.76,1844991.54,1230558.94,1158095.88
276,1099354.26,1866386.54,1250254.19,1174716.63
277,1079013.01,1805187.04,1218918.31,1146483.63
278,1087260.76,1801461.91,1222468.94,1155266.25
279,1098956.39,1828516.79,1243165.81,1166396.13
280,1107726.64,1838037.29,1236775.81,1170888.0
281,1105315.26,1823573.66,1238517.56,1169857.5
282,1074631.01,1764491.29,1209154.06,1134776.88
283,1094700.51,1806456.91,1228270.31,1160147.88
284,1083580.51,1777001.29,1223622.81,1156717.25
285,1097161.76,1791263.66,1231815.31,1162496.63
286,1073983.51,1752213.66,1206345.06,1137174.13
287,1083502.14,1763160.29,1232027.06,1158022.13
288,1077370.26,1765290.29,1244455.81,1161813.88
289,1074424.89,1752256.41,1238984.56,1157526.63
290,1083888.01,1777402.29,1245791.69,1167907.75
291,1085869.01,1796671.29,1250228.06,1179525.63
292,1098214.01,1859453.04,1264919.56,1209793.13
293,1116634.51,1870339.54,1258709.31,1238281.88
294,1100352.76,1850328.04,1250082.06,1228638.0
295,1111967.51,1848644.54,1255940.56,1234600.88
296,1107675.76,1833580.79,1242230.81,1228018.75
297,1113797.01,1842281.91,1255985.56,1239024.13
298,1117519.26,1864786.79,1276826.31,1242232.88
299,1129098.89,1866986.16,1270051.06,1250163.13
300,1133319.89,1885266.04,1280932.06,1259569.38
301,1128710.51,1884093.16,1276882.31,1247399.0
302,1121140.64,1869066.04,1276368.56,1236553.25
303,1133231.14,1851192.54,1261861.56,1232863.38
304,1140641.76,1887904.04,1273399.81,1250968.63
305,1153323.89,1931056.79,1297890.81,1267108.13
306,1151147.26,1923784.04,1298410.69,1259348.13
307,1143966.01,1909992.29,1289915.31,1254636.75
308,1155966.64,1917695.29,1304175.31,1263900.88
309,1151499.14,1923550.91,1311898.31,1260938.75
310,1164866.51,1954594.79,1317073.69,1273889.25
311,1185580.39,1980330.66,1325194.31,1298235.0
312,1187266.76,1971487.54,1331885.56,1296904.13
313,1178889.39,1971625.41,1325894.06,1289546.13
314,1191661.14,1992386.91,1338050.06,1300988.63
315,1191511.14,1993849.29,1339106.94,1302640.63
316,1190365.26,1996726.79,1346501.56,1303664.38
317,1196061.39,2028854.29,1347892.81,1310103.13
318,1197553.76,2031197.41,1347197.31,1324293.75
319,1192975.01,2017975.54,1349846.19,1307448.88
320,1191010.76,2020007.04,1356602.19,1307902.13
321,1184898.14,1998667.29,1341774.19,1294560.63
322,1197520.14,2021024.41,1340976.81,1325547.63
323,1195842.64,2036140.79,1348021.69,1328587.38
324,1195979.39,2040152.79,1342273.69,1330523.63
325,1198901.89,2041836.29,1341679.31,1329113.25
326,1202815.01,2034004.04,1333159.31,1323312.0
327,1200157.26,2006382.29,1309641.56,1314662.75
328,1198899.64,2020115.91,1316566.56,1322186.88
329,1203684.14,2023484.54,1316341.94,1330225.13
330,1206021.64,2024916.29,1336765.81,1327194.13
331,1213082.39,2031034.54,1342270.06,1329580.88
332,1224824.76,2031791.04,1346777.31,1335140.88
333,1228925.51,2045079.66,1355626.81,1343861.63
334,1224023.39,2049437.54,1356858.31,1342348.88
335,1221154.14,2037331.79,1345823.94,1340056.38
336,1215774.76,2019494.91,1344953.31,1330750.63
337,1211017.89,2013710.29,1361559.56,1325532.63
338,1207309.26,2008499.29,1359891.31,1324859.25
339,1215255.14,2029968.79,1364448.69,1334586.13
340,1214075.01,2040766.54,1360198.81,1341625.75
341,1227151.01,2053518.79,1358600.81,1353379.88
342,1219825.26,2048534.29,1351220.81,1341570.63
343,1235105.01,2060765.79,1345397.81,1359085.88
344,1238123.89,2064533.41,1347753.81,1364342.13
345,1239503.51,2066647.04,1346671.31,1365961.13
346,1235949.76,2065516.54,1338674.81,1367481.38
347,1237394.64,2058381.29,1336120.19,1366662.25
348,1231710.89,2037716.41,1337529.56,1362264.0
349,1226358.01,2019274.04,1323397.94,1353688.38
350,1232139.76,2000178.29,1317153.06,1346823.13
351,1247586.26,2030769.66,1320292.06,1372160.25
352,1252869.14,2032834.79,1322392.81,1374351.13
353,1258566.39,2044885.79,1316716.56,1380758.75
354,1267405.39,2039546.91,1283088.81,1367098.13
355,1265078.51,2033710.16,1272588.81,1368299.38
356,1277013.89,2049293.29,1254596.56,1387240.38
357,1260745.14,2033944.16,1262178.31,1372321.88
358,1262885.76,2054845.54,1270148.94,1373872.13
359,1286548.89,2088946.54,1282149.81,1392925.5
360,1276171.01,2083617.79,1282388.19,1391941.25
361,1271760.76,2103172.54,1282469.44,1382814.38
362,1269514.39,2104764.29,1290676.06,1382285.88
363,1280252.14,2114468.04,1293630.06,1390209.38
364,1272526.51,2108481.54,1282041.06,1379503.88
365,1275954.26,2106557.04,1273391.31,1381730.13
366,1280120.64,2081395.29,1275288.56,1384982.25
367,1284390.01,2060940.29,1276490.94,1383603.5
368,1286409.89,2059327.79,1261016.81,1395048.13
369,1304635.14,2076440.16,1271569.06,1406915.63
370,1313570.39,2111156.79,1267635.81,1415957.38
371,1331942.51,2115388.04,1246861.94,1412360.5
372,1347936.26,2111805.04,1235972.81,1420919.88
373,1376563.14,2159754.54,1243610.06,1466965.88
374,1360891.76,2150674.79,1234386.31,1446466.5
375,1363018.01,2150688.79,1225077.69,1444285.0
376,1369065.01,2162002.29,1233829.31,1458931.0
377,1384450.64,2177715.79,1255614.06,1487500.0
378,1403665.51,2246043.29,1263522.81,1524914.88
379,1401653.26,2245403.79,1266249.94,1517350.63
380,1410433.64,2260379.29,1268730.81,1522337.25
381,1414464.76,2283801.29,1281356.56,1528395.0
382,1414010.26,2297838.79,1283616.31,1530187.75
383,1419293.14,2291272.04,1282023.56,1529155.88
384,1401516.76,2273317.54,1276483.06,1524797.0
385,1421144.51,2290518.04,1275957.44,1531301.88
386,1428661.26,2293179.29,1279882.31,1539179.88
387,1421913.76,2293310.79,1291711.06,1538816.75
388,1421467.14,2302863.29,1300374.81,1543475.5
389,1416930.01,2305757.79,1311349.81,1542375.5
390,1422452.76,2320573.04,1317759.56,1544659.38
391,1427345.89,2292802.29,1299595.06,1541120.0
392,1438997.76,2338690.04,1291863.81,1576663.63
393,1436112.01,2332994.29,1295233.56,1576434.88
394,1463032.76,2372317.04,1301395.94,1611563.75
395,1473111.26,2394643.54,1305668.56,1611608.75
396,1465689.76,2361928.54,1340721.44,1597425.13
397,1448035.01,2338331.54,1342192.94,1575511.13
398,1440558.76,2323810.04,1337545.56,1568298.0
399,1445016.76,2319707.54,1323460.44,1576615.38
400,1422044.76,2294361.79,1321445.56,1553660.25
401,1439398.51,2314073.79,1326316.06,1580737.88
402,1444179.64,2320476.29,1335079.94,1586336.13
403,1427425.64,2294856.79,1314403.81,1567694.38
404,1432616.26,2319191.04,1334459.19,1568479.88
405,1432020.89,2320057.04,1328602.56,1570033.63
406,1448904.64,2342647.54,1349490.31,1582445.63
407,1469216.01,2379998.29,1365843.81,1603338.63
408,1461816.76,2384766.29,1359344.81,1607246.38
409,1473669.39,2383533.54,1363993.19,1619210.13
410,1483869.51,2382657.29,1361666.81,1623748.63
411,1487993.14,2351998.04,1353933.31,1624371.0
412,1467047.76,2317027.29,1339575.69,1602339.63
413,1458893.14,2314993.29,1328477.31,1592795.13
414,1449567.64,2295450.79,1325773.56,1590742.38
415,1421790.01,2260827.04,1309771.94,1568257.38
416,1445415.89,2290738.04,1315174.56,1587832.38
417,1436433.39,2263390.04,1312167.06,1566617.13
418,1432059.39,2237747.54,1294640.06,1556260.13
419,1429868.51,2216150.29,1299479.06,1547051.63
420,1430793.14,2244055.54,1322280.31,1556888.5
421,1429433.51,2234190.04,1328104.31,1554088.63
422,1428753.39,2229886.04,1315735.69,1557457.75
423,1434919.64,2278215.04,1325801.19,1563155.5
424,1457835.14,2320881.54,1323367.06,1591187.38
425,1448138.39,2317976.04,1322759.31,1585374.5
426,1447847.01,2330547.54,1319984.19,1588271.5
427,1427752.64,2296083.54,1311904.81,1564348.63
428,1449889.89,2326063.04,1305586.56,1587985.63
429,1455151.76,2312757.54,1306570.31,1586126.63
430,1469329.26,2319461.54,1331109.56,1587259.38
431,1478158.76,2307474.29,1334756.06,1587720.13
432,1461708.39,2264086.54,1312159.06,1563239.25
433,1422327.26,2200042.54,1282462.56,1517013.38
434,1431839.26,2229330.79,1282932.56,1528425.25
435,1424061.01,2208032.29,1270294.31,1525292.13
436,1421500.76,2201725.29,1262977.31,1521942.0
437,1386034.51,2140006.54,1235074.56,1482571.13
438,1387360.01,2138306.79,1226318.81,1488781.88
439,1396518.89,2137830.79,1210749.06,1496166.5
440,1413728.64,2167152.29,1219808.56,1503467.63
441,1433043.76,2193585.54,1235086.94,1527670.38
442,1413322.64,2176932.79,1219732.06,1507203.5
443,1379480.14,2139290.04,1196852.81,1470619.0
444,1399193.26,2167453.79,1214401.94,1489310.0
445,1429870.89,2210693.54,1236467.19,1523956.63
446,1426987.14,2223719.04,1240394.81,1531042.13
447,1434177.39,2223114.04,1240499.31,1537556.38
448,1418335.89,2190360.79,1237938.19,1515148.38
449,1417916.51,2180939.54,1235886.56,1507437.38
450,1405262.01,2159695.54,1238780.81,1485474.63
451,1403969.14,2160085.29,1226460.81,1489991.88
452,1375645.89,2127775.54,1200919.19,1456260.63
453,1357478.76,2084329.04,1184472.56,1429895.88
454,1369380.76,2094321.66,1190862.06,1433446.13
455,1376955.01,2129542.29,1200249.69,1449094.5
456,1383474.89,2142871.79,1208387.31,1466076.63
457,1374731.26,2115632.79,1198402.81,1451176.38
458,1377999.89,2124955.04,1203982.31,1459990.38
459,1386999.89,2145094.29,1208744.31,1469682.13
460,1392799.26,2176720.54,1223415.81,1477135.13
461,1389776.51,2174355.04,1219061.81,1475986.13
462,1410148.64,2201274.54,1234294.31,1492670.25
463,1433084.01,2267249.04,1242868.31,1522166.38
464,1448664.51,2275103.79,1250122.31,1535171.63
465,1482683.76,2334486.04,1265402.69,1576917.5
466,1476650.76,2341533.79,1271882.94,1573219.5
467,1482119.01,2337733.54,1269693.94,1566971.63
468,1486328.51,2341547.79,1290968.06,1578532.38
469,1489098.01,2333580.79,1289258.44,1574666.88
470,1494486.26,2352374.79,1297690.44,1588289.25
471,1495472.26,2369847.04,1294923.81,1597747.63
472,1484602.64,2362392.04,1288418.31,1592597.13
473,1492939.26,2376372.04,1310234.31,1606125.63
474,1474367.01,2330039.04,1286682.06,1589211.63
475,1459115.51,2308542.04,1292383.81,1573196.5
476,1432340.76,2279900.04,1277516.81,1541817.88
477,1414985.01,2234241.54,1288910.06,1501665.13
478,1377109.39,2170394.54,1266235.44,1450076.63
479,1390975.89,2183826.29,1310334.81,1457924.0
480,1379674.89,2150242.04,1312229.31,1440264.13
481,1366960.89,2135978.04,1296122.06,1433757.25
482,1388311.26,2173295.04,1311427.56,1459752.0
483,1402381.51,2183175.04,1310978.31,1476706.75
484,1423299.64,2234062.54,1318076.31,1516023.88
485,1408793.26,2210231.79,1329895.44,1495182.88
486,1406289.39,2195526.54,1316675.56,1489706.88
487,1379690.89,2153118.54,1295172.69,1452031.88
488,1392220.01,2163222.79,1300361.06,1467333.38
489,1414011.51,2191714.79,1333876.69,1487306.13
490,1416576.76,2205361.04,1330992.81,1496352.88
491,1395880.76,2170290.54,1322602.81,1474503.63
492,1361454.01,2124377.79,1279810.81,1430739.63
493,1409349.89,2220187.04,1319324.94,1485057.38
494,1405304.76,2211005.54,1320914.81,1481714.0
495,1400080.89,2209989.04,1318125.81,1478132.5
496,1396001.14,2197652.54,1321276.06,1473643.88
497,1395091.89,2192993.54,1317029.94,1467581.25
498,1397918.51,2202603.79,1315529.44,1468209.63
499,1394156.76,2192867.79,1313421.06,1466297.88
500,1334942.26,2103300.29,1252332.06,1390035.0
501,1358907.39,2143483.79,1277655.31,1432033.25
502,1366481.14,2138507.54,1268606.69,1440538.25
503,1348560.89,2100075.79,1211709.44,1415360.63
504,1316597.26,2046902.79,1187251.56,1388731.13
505,1287008.01,2005654.91,1160929.44,1357755.63
506,1241599.39,1930590.54,1121747.31,1299661.0
507,1244367.39,1938982.91,1140610.56,1312467.75
508,1273156.14,1984303.41,1161752.44,1355091.5
509,1308080.76,2014574.54,1180552.06,1383402.75
510,1302419.26,2016434.04,1180835.31,1393302.38
